Unitats;UTM (X);Explotador/s;Denominació comercial;Superfície;Signatura;Inici d'activitat;Localitat;Municipi;Subgrup;Excepcions ratio turístic;Memoria descriptiva;Categoria;Hotel de ciutat;Places;Grup;Estat;UTM(Y);Direcció;longitude;latitude
35;;Paraiso CR Hotel Servicios, S.L. (B16406373);The Sky;;H/2972;18/04/2018;Cala Rajada;CAPDEPERA;Allotjaments;;;4 estrelles;;68;Hotel;Alta;;Carrer BUSTAMANTE, 40. 07590 Cala Rajada, CAPDEPERA, Mallorca;;
104;;WELIKEHOTEL, S.L. (B02994960);TRITON BEACH;;H/2973;05/04/2016;Cala Rajada;CAPDEPERA;Allotjaments;;;4 estrelles;;208;Hotel;Alta;;Carrer MAGALLANES, 9. 07590 Cala Rajada, CAPDEPERA, Mallorca;;
37;;HOTELES TECNOLOGICOS 2010, SA (A86069465);PETIT PALACE ICON ROSETO;0;H/2974;09/01/2018;Palma;PALMA;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;4 estrelles Superior;;68;Hotel;Alta;;Carrer CAN CAMPANER, 18. 07003 PALMA, Mallorca;;
140;533040.311179;ANLUGA SA (A07178908);BAHIA CALA MILLOR;4029;H/2978;24/04/1989;Cala Millor;SANT LLORENÇ DES CARDASSAR;Allotjaments;;;4 estrelles;;280;Hotel;Alta;4381980.7716;Carrer CASTELL, 3. 07560 Cala Millor, SANT LLORENÇ DES CARDASSAR, Mallorca;3.3847625308379814;39.58691151983075
6;469727.83719999995;HOTEL BOUTIQUE BOSCH,SL (B16571507);BOUTIQUE BOSCH;181;H/2979;15/05/2018;Palma;PALMA;Allotjaments;1;;4 estrelles;Sí;12;Hotel;Alta;4380225.1809;Carrer CAN BRONDO, 7. 07012 PALMA, Mallorca;2.647552764121772;39.57119540795761
19;;Bo Hotel Palma City, SLU (B57922171);BO HOTEL;245;H/2980;26/02/2018;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;4 estrelles;Sí;38;Hotel;Alta;;Carrer JAUME FERRER, 2. 07012 PALMA, Mallorca;;
66;511154.687039;Bordoy Caprice SL (B06836605);CAPRICE ALCUDIA PORT;0;H/2981;27/07/1998;Port D´Alcúdia;ALCÚDIA;Allotjaments;Disposició transitòria primera de la Llei 6/2017 de 31 de juliol;;5 estrelles;;126;Hotel;Alta;4410281.33106;Avinguda MADRE PERLA, S/N. 07410 Port D´Alcúdia, ALCÚDIA, Mallorca;3.1303794822590487;39.842470289377154
128;512973.73;S´ ALZINAR MAR SL (B07806029);Zafiro Alzinar Mar;0;H/2982;07/10/1998;Can Picafort;SANTA MARGALIDA;Allotjaments;;;4 estrelles;;253;Hotel;Alta;4401282.58;Carretera ALCUDIA-ARTA S/N , POLÍGON 2- SECTOR 6, S/N. 07458 Can Picafort, SANTA MARGALIDA, Mallorca;3.1514629746360714;39.76136497911119
27;539648.4309;MARPEP 1970 HOTEL SERVICIOS, SL (B16406308);THE PLACE;314;H/2983;20/07/2018;Cala Rajada;CAPDEPERA;Allotjaments;Excepció al ràtio forçosa per reapertura de baixa definitiva.;;4 estrelles;No;56;Hotel;Alta;4396114.4026999995;Carrer MONGES, 44. 07590 Cala Rajada, CAPDEPERA, Mallorca;3.4625614315087323;39.713976018981796
24;;CAN BORDOY PALMA SLU (B16500795);CAN BORDOY GRAND HOUSE & GARDEN;1210;H/2984;27/11/2018;Palma;PALMA;Allotjaments;Excepció article 5.5 llei 8/2012, hotel de ciutat;;5 estrelles Gran Luxe;Sí;48;Hotel;Alta;;Carrer Forn de la Gloria, 14. 07012 PALMA, Mallorca;;
